;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
1655;101 790 км;Ford Focus III;539 000 ₽;2014;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1656;102 330 км;Ford Focus III;549 000 ₽;2013;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/105л.с./Бензин
1657;280 000 км;Ford Focus I Рестайлинг;140 000 ₽;2003;автомат;седан;передний;золотистый;2.0 л/130л.с./Бензин
1658;320 000 км;Ford Focus II;240 000 ₽;2005;механика;седан;передний;чёрный;1.6 л/115л.с./Бензин
1659;268 000 км;Ford Focus II;285 000 ₽;2006;механика;хэтчбек 3 дв.;передний;чёрный;2.0 л/145л.с./Бензин
1660;103 435 км;Ford Focus III;630 000 ₽;2015;робот;хэтчбек 5 дв.;передний;чёрный;1.6 л/125л.с./Бензин
1661;140 105 км;Ford Focus III;530 000 ₽;2014;механика;седан;передний;белый;1.6 л/105л.с./Бензин
1662;144 708 км;Ford Focus III;438 000 ₽;2012;робот;хэтчбек 5 дв.;передний;белый;1.6 л/105л.с./Бензин
1663;188 000 км;Ford Focus II Рестайлинг;400 000 ₽;2009;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/100л.с./Бензин
1664;198 000 км;Ford Focus II Рестайлинг;410 000 ₽;2010;механика;хэтчбек 5 дв.;передний;серебристый;1.8 л/125л.с./Бензин
1665;147 500 км;Ford Focus II Рестайлинг;379 000 ₽;2010;механика;хэтчбек 5 дв.;передний;белый;1.6 л/100л.с./Бензин
1666;181 481 км;Ford Focus II Рестайлинг;315 000 ₽;2008;механика;седан;передний;серый;1.6 л/115л.с./Бензин
1667;337 000 км;Ford Focus I Рестайлинг;160 000 ₽;2004;механика;хэтчбек 5 дв.;передний;чёрный;1.8 л/115л.с./Бензин
1668;150 000 км;Ford Focus III;500 000 ₽;2011;механика;хэтчбек 5 дв.;передний;голубой;1.6 л/125л.с./Бензин
1669;119 300 км;Ford Focus III;550 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/105л.с./Бензин
1670;109 000 км;Ford Focus III;659 000 ₽;2012;робот;седан;передний;чёрный;2.0 л/150л.с./Бензин
1671;105 300 км;Ford Focus III;595 000 ₽;2014;робот;универсал 5 дв.;передний;синий;1.6 л/105л.с./Бензин
1672;276 000 км;Ford Focus I Рестайлинг;175 000 ₽;2005;механика;седан;передний;синий;1.6 л/98л.с./Бензин
1673;250 000 км;Ford Focus II;260 000 ₽;2006;механика;седан;передний;синий;1.4 л/80л.с./Бензин
1674;202 880 км;Ford Focus II Рестайлинг;425 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/115л.с./Бензин
1675;116 239 км;Ford Focus III Рестайлинг;800 000 ₽;2017;робот;универсал 5 дв.;передний;чёрный;1.6 л/105л.с./Бензин
1676;150 000 км;Ford Focus III;420 000 ₽;2012;робот;седан;передний;белый;1.6 л/125л.с./Бензин
1677;218 000 км;Ford Focus II Рестайлинг;370 000 ₽;2009;автомат;седан;передний;фиолетовый;1.6 л/100л.с./Бензин
1678;182 303 км;Ford Focus II Рестайлинг;400 000 ₽;2008;механика;седан;передний;чёрный;1.8 л/125л.с./Бензин
